qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
FE:AA:B2:51:3D:CD,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:05.458900Z
C8:E5:FD:23:01:B1,2.9,2900,GOOD,GOOD,70.0,True,-39,RSSI -39 | Battery 2.9V,2025-09-19T22:22:05.474358Z
FA:2F:26:8D:0A:82,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:05.528345Z
E0:CB:AF:4B:CB:99,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.529230Z
F7:EC:10:05:05:45,3.0,3000,NEW,GOOD,0,True,-47,RSSI -47 | Battery 3.0V,2025-09-19T22:22:05.531259Z
D3:A8:57:63:BF:75,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.533494Z
F7:A0:38:26:2B:9C,3.0,3000,NEW,GOOD,0,True,-46,RSSI -46 | Battery 3.0V,2025-09-19T22:22:05.535570Z
E0:EA:75:10:FC:14,2.9,2900,GOOD,GOOD,70.0,True,-50,RSSI -50 | Battery 2.9V,2025-09-19T22:22:05.539665Z
E4:75:16:A3:5F:99,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:05.548948Z
C0:57:D7:24:1A:F4,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-19T22:22:05.550023Z
D3:0B:CC:1B:24:17,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-19T22:22:05.552043Z
C7:F5:0E:CE:58:15,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.556113Z
CB:BF:6F:D1:2C:12,2.9,2900,GOOD,GOOD,70.0,True,-50,RSSI -50 | Battery 2.9V,2025-09-19T22:22:05.558281Z
CC:B0:B1:19:24:59,3.0,3000,NEW,GOOD,0,True,-50,RSSI -50 | Battery 3.0V,2025-09-19T22:22:05.560298Z
ED:BF:1A:52:1C:C0,2.9,2900,GOOD,GOOD,70.0,True,-41,RSSI -41 | Battery 2.9V,2025-09-19T22:22:05.568930Z
EF:1B:37:75:9D:50,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.570866Z
C5:69:18:ED:83:65,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.627246Z
EC:87:9B:C7:9B:FB,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.628215Z
